player_name,team,league,model_current_xp_per_90,model_R_A_share_xp_pct,model_R_D_ratio,z_current,z_R_A,z_R_D,blend_65_35_R_A,blend_65_35_R_D,display_current,display_blend_R_A,display_blend_R_D,rank_current,rank_blend_R_A,rank_blend_R_D,gain_blend_R_A,gain_blend_R_D
Aleix García,Bayer 04 Leverkusen,Bundesliga,29.7619,17.116,0.1763,3.5188267049078763,1.9633439174319482,1.7977407316423029,2.9744077292913014,2.9164466142649257,8.445700669663923,8.437249512657814,8.43568694654783,1,1,1,0,0
Angelo Stiller,VfB Stuttgart,Bundesliga,22.1625,15.299,0.153,1.603240412007401,1.4072204818500147,0.8762843583890005,1.534633436452316,1.348805793240961,8.259279431561005,8.232474701517562,8.140739253459206,4,2,3,2,1
Pierre-Emile Højbjerg,Olympique de Marseille,Ligue 1,22.6795,14.224,0.1511,1.733560978556016,1.07819863636263,0.8011441391108349,1.504184158788331,1.4072150847502027,8.3017145930982,8.219458679302072,8.172908137826155,3,3,2,0,1
Elliot Anderson,Nottingham Forest,Premier League,19.5448,17.8,0.178,0.9433948664478068,2.172693631211829,1.8649714541543456,1.3736494341152143,1.2659466721450954,7.805106415833516,8.15482703141086,8.089103417537283,8,4,4,4,4
Leon Avdullahu,TSG Hoffenheim,Bundesliga,19.9487,15.153,0.1561,1.0452062336218604,1.362534724230333,0.998881558263903,1.1562712053348259,1.0289925972465752,7.910842332845304,8.00856136496106,7.8950847751886855,6,5,7,1,-1
Valentin Rongier,Stade Rennais,Ligue 1,19.5877,14.406,0.158,0.9542087006933309,1.1339027999707267,1.0740217775420697,1.0171016354404194,0.9961432775903895,7.8171221089279435,7.883274279299189,7.86192568664017,7,6,9,1,-2
Maxime López,Paris FC,Ligue 1,19.9803,12.929,0.1691,1.053171668637211,0.6818420876127103,1.512998848061883,0.9232063152786357,1.2141111814358463,7.918439133616722,7.782156235933467,8.052875764480978,5,7,6,-2,-1
Máximo Perrone,Como,Serie A,19.4271,12.699,0.134,0.9137261417229094,0.6114467160200603,0.12488216560733864,0.8079283427269123,0.6376307500824597,7.771143913209362,7.637692323549402,7.380046287272992,9,8,11,1,-2
Exequiel Palacios,Bayer 04 Leverkusen,Bundesliga,22.9609,6.802,0.136,1.8044936815091688,-1.1934293982488786,0.20397713326856634,0.7552206035938522,1.244312889624958,8.320810021534664,7.563720264172319,8.074368881692019,2,9,5,-7,-3
Granit Xhaka,Sunderland,Premier League,16.4967,15.889,0.1776,0.17505807941331245,1.587799913326812,1.8491524606221006,0.6695177212830372,0.7609911128363882,6.4245641595491,7.432423250303723,7.572067920990014,17,10,10,7,7
Marten de Roon,Atalanta,Serie A,18.2143,11.777,0.1316,0.6080147623995822,0.3292530959834378,0.029968204413864975,0.5104481791539317,0.4056984671045812,7.329683917830334,7.15222109586149,6.942794802744304,10,11,13,-1,-3
Laurent Abergel,Lorient,Ligue 1,16.9933,13.082,0.1589,0.3002364031039167,0.7286703130634731,1.1096145129896227,0.45018827158976144,0.5835187415639138,6.714245899981739,7.034031693464777,7.286784636505935,13,12,12,1,1
Aleix Febas,Elche,La Liga,16.8987,11.923,0.1259,0.27639051220353184,0.3739388536031201,-0.19545245342063305,0.31053243169338773,0.11124547423507414,6.660424787681659,6.7372574122069295,6.271432624749764,14,13,17,1,-3
Nicolò Fagioli,Fiorentina,Serie A,16.296,12.645,0.1456,0.12446748423670273,0.5949191070374381,0.5836329780424588,0.2891255522169601,0.28517540706871736,6.303380280663815,6.689257942791748,6.6803361867211715,19,14,14,5,5
Lucas Da Cunha,Como,Serie A,16.7287,10.936,0.1154,0.23353848838677205,0.07185088942074892,-0.6107010336420784,0.17694782874866397,-0.061945344323325574,6.5619892470550045,6.429053534704144,5.84842772916735,16,15,23,1,-7
Bruno Guimarães,Newcastle United,Premier League,16.8204,10.561,0.1347,0.25665337417498857,-0.04292417295857142,0.15256540428876744,0.15180123267824258,0.22022258471481118,6.615348531607905,6.369082368523051,6.530988992923671,15,16,16,-1,-1
Pablo Fornals,Real Betis,La Liga,15.6255,12.356,0.1269,-0.04454593911116243,0.5064657922971086,-0.1559049695900192,0.14830816688173243,-0.0835215997787623,5.8909345806191995,6.360714204912564,5.795846574994761,25,17,24,8,1
Senne Lynen,SV Werder Bremen,Bundesliga,16.0325,11.469,0.1258,0.058046847320725646,0.2349845114158894,-0.1994072018036951,0.11997502975403296,-0.032062069872821605,6.142055263034902,6.292536576688454,5.921474834304832,22,18,21,4,1
Tyler Morton,Olympique Lyonnais,Ligue 1,15.7489,11.424,0.13,-0.013440411234761791,0.221211503930371,-0.03330776971511674,0.06868775907303469,-0.020393986702886023,5.967072975147962,6.168020851550037,5.950041658521989,24,19,20,5,4
Nemanja Matić,Sassuolo,Serie A,14.7515,12.509,0.1398,-0.2648557556749723,0.5532940177478715,0.3542575718248987,0.02149666502302297,-0.048166091050017484,5.365862462121366,6.052658718242408,5.882084249919507,28,20,22,8,6
Valentín Barco,RC Strasbourg,Ligue 1,16.1281,10.302,0.1297,0.08214480894944468,-0.12219548270855544,-0.04517201486430067,0.010625706869144637,0.03758392061463381,6.200803326777518,6.02603200211677,6.0920372738024655,20,21,18,-1,2
James Garner,Everton,Premier League,13.8957,13.702,0.137,-0.48057788498310555,0.9184317495306158,0.24352461709918016,0.009075487096696866,-0.22714200925430558,4.9055695657717635,6.022234332950606,5.452879163227326,29,22,30,7,-1
Branco Van den Boomen,Angers,Ligue 1,17.4585,8.091,0.1834,0.41749970592483676,-0.7989092504970283,2.0785278668396607,-0.008243428822815979,0.9988595622450251,6.9673138523679805,5.979804056847868,7.864731223765676,12,23,8,-11,4
Kévin Danois,Auxerre,Ligue 1,13.8171,13.555,0.1397,-0.5003906442301483,0.8734399250779222,0.35030282344183666,-0.019549944972323652,-0.2026479305449536,4.867060408495734,5.952108736014944,5.510199037861652,30,24,29,6,1
Benjamin André,Lille,Ligue 1,16.2975,9.446,0.1189,0.12484559032920357,-0.38418869176641735,-0.47228484023492995,-0.05331640840426373,-0.08415006036824314,6.3042923934613,5.869498432281487,5.794317617992443,18,25,25,-7,-7
Hugo Sotelo,Celta Vigo,La Liga,17.4911,6.842,0.13,0.42571721166852083,-1.1811867249284178,-0.03330776971511674,-0.13669916614040767,0.26505846818424766,6.98425299865158,5.667157701928874,6.634600887018665,11,26,15,-15,-4
Nikola Moro,Bologna,Serie A,15.2273,10.082,0.1277,-0.14492050313371307,-0.1895301859710897,-0.12426698252552835,-0.1605338921267949,-0.13769177092084842,5.64740967987947,5.610036159281964,5.6647710264028,26,27,26,-1,0
Pascal Groß,Brighton & Hove Albion,Premier League,15.1493,10.091,0.1278,-0.16458201994375543,-0.18677558447398646,-0.1203122341424674,-0.17234976752933628,-0.14908759491330462,5.60037579120803,5.581874951276213,5.63741780505801,27,28,28,-1,-1
Lamine Camara,AS Monaco,Ligue 1,16.0585,8.179,0.1174,0.06460068625740643,-0.7719753691920141,-0.5316060659808507,-0.22820093314989076,-0.14407167702598356,6.158051879211313,5.450414762781257,5.649446480327337,21,29,27,-8,-6
Mateus Fernandes,West Ham United,Premier League,12.5621,13.178,0.1391,-0.8167394082891659,0.7580527290325791,0.3265743331434688,-0.26556216022655516,-0.41657959878774375,4.3504363413946585,5.3642480120393925,5.034589696752444,33,30,32,3,1
