player_name,team,display_current,display_hybrid,display_65_35_R_A,display_65_35_R_D,rank_current,rank_hybrid,rank_65_35_R_A,rank_65_35_R_D,gain_hybrid,blend_hybrid,z_current,z_share,z_ratio
Aleix García,Bayer 04 Leverkusen,8.445700669663923,8.436601832868776,8.437249512657814,8.43568694654783,1,1,1,1,0,2.9495672514228546,3.5188267049078763,1.9633439174319482,1.7977407316423029
Pierre-Emile Højbjerg,Olympique de Marseille,8.3017145930982,8.200495468614072,8.219458679302072,8.172908137826155,3,2,3,2,1,1.4626259842005616,1.733560978556016,1.07819863636263,0.8011441391108349
Angelo Stiller,VfB Stuttgart,8.259279431561005,8.196855613917725,8.232474701517562,8.140739253459206,4,3,2,3,1,1.4549930179331638,1.603240412007401,1.4072204818500147,0.8762843583890005
Elliot Anderson,Nottingham Forest,7.805106415833516,8.128155276884836,8.15482703141086,8.089103417537283,8,4,4,4,4,1.3274911075565918,0.9433948664478068,2.172693631211829,1.8649714541543456
Leon Avdullahu,TSG Hoffenheim,7.910842332845304,7.962737030020254,8.00856136496106,7.8950847751886855,6,5,5,7,1,1.1017232304398612,1.0452062336218604,1.362534724230333,0.998881558263903
Maxime López,Paris FC,7.918439133616722,7.913402746468796,7.782156235933467,8.052875764480978,5,6,7,6,-1,1.0478798293460116,1.053171668637211,0.6818420876127103,1.512998848061883
Valentin Rongier,Stade Rennais,7.8171221089279435,7.874208593147116,7.883274279299189,7.86192568664017,7,7,6,9,0,1.0081194820761208,0.9542087006933309,1.1339027999707267,1.0740217775420697
Exequiel Palacios,Bayer 04 Leverkusen,8.320810021534664,7.8287394508858705,7.563720264172319,8.074368881692019,2,8,9,5,-6,0.964831583321469,1.8044936815091688,-1.1934293982488786,0.20397713326856634
Máximo Perrone,Como,7.771143913209362,7.5338972674983316,7.637692323549402,7.380046287272992,9,9,8,11,0,0.734943660165004,0.9137261417229094,0.6114467160200603,0.12488216560733864
Granit Xhaka,Sunderland,6.4245641595491,7.494191128105912,7.432423250303723,7.572067920990014,17,10,10,10,7,0.7087206033773306,0.17505807941331245,1.587799913326812,1.8491524606221006
Laurent Abergel,Lorient,6.714245899981739,7.146262338287987,7.034031693464777,7.286784636505935,13,11,12,12,2,0.5073299015786839,0.3002364031039167,0.7286703130634731,1.1096145129896227
Marten de Roon,Atalanta,7.329683917830334,7.064772973327071,7.15222109586149,6.942794802744304,10,12,11,13,-2,0.46555544541849575,0.6080147623995822,0.3292530959834378,0.029968204413864975
Branco Van den Boomen,Angers,6.9673138523679805,6.979430300205392,5.979804056847868,7.864731223765676,12,13,23,8,-1,0.4233721387776873,0.41749970592483676,-0.7989092504970283,2.0785278668396607
Nicolò Fagioli,Fiorentina,6.303380280663815,6.685436746046631,6.689257942791748,6.6803361867211715,19,14,14,14,5,0.2874326328677132,0.12446748423670273,0.5949191070374381,0.5836329780424588
Aleix Febas,Elche,6.660424787681659,6.5424205471749115,6.7372574122069295,6.271432624749764,14,15,13,17,-1,0.22512373563982477,0.27639051220353184,0.3739388536031201,-0.19545245342063305
Bruno Guimarães,Newcastle United,6.615348531607905,6.4389656485101066,6.369082368523051,6.530988992923671,15,16,16,16,-1,0.18112466926534343,0.25665337417498857,-0.04292417295857142,0.15256540428876744
Lucas Da Cunha,Como,6.5619892470550045,6.182346528335923,6.429053534704144,5.84842772916735,16,17,15,23,-1,0.07456504028923988,0.23353848838677205,0.07185088942074892,-0.6107010336420784
Senne Lynen,SV Werder Bremen,6.142055263034902,6.13416551395955,6.292536576688454,5.921474834304832,22,18,18,21,4,0.054816272771095284,0.058046847320725646,0.2349845114158894,-0.1994072018036951
Pablo Fornals,Real Betis,5.8909345806191995,6.11983804442722,6.360714204912564,5.795846574994761,25,19,17,24,6,0.048952552598663275,-0.04454593911116243,0.5064657922971086,-0.1559049695900192
