player_id,player_name,team,league,league_source,minutes,xp_m4_total,team_xp_total,team_xp_per_90,model_current_xp_per_90,model_R_A_share_xp_pct,model_R_D_ratio
796047,Aleix García,Bayer 04 Leverkusen,Bundesliga,bundesliga,2970.0,982.144,5738.212,168.7709,29.7619,17.116,0.1763
822600,Exequiel Palacios,Bayer 04 Leverkusen,Bundesliga,bundesliga,1530.0,390.335,5738.212,168.7709,22.9609,6.802,0.136
149593,Pierre-Emile Højbjerg,Olympique de Marseille,Ligue 1,ligue1,2880.0,725.743,5102.315,150.0681,22.6795,14.224,0.1511
901882,Angelo Stiller,VfB Stuttgart,Bundesliga,bundesliga,3060.0,753.524,4925.305,144.8619,22.1625,15.299,0.153
352802,Maxime López,Paris FC,Ligue 1,ligue1,2340.0,519.487,4018.111,118.1797,19.9803,12.929,0.1691
1493305,Leon Avdullahu,TSG Hoffenheim,Bundesliga,bundesliga,2970.0,658.307,4344.307,127.7737,19.9487,15.153,0.1561
581314,Valentin Rongier,Stade Rennais,Ligue 1,ligue1,2790.0,607.218,4214.893,123.9674,19.5877,14.406,0.158
994546,Elliot Anderson,Nottingham Forest,Premier League,premier_league,3330.0,723.159,4062.752,109.8041,19.5448,17.8,0.178
1086286,Máximo Perrone,Como,Serie A,italia_seriea,3240.0,699.376,5507.147,144.9249,19.4271,12.699,0.134
100389,Marten de Roon,Atalanta,Serie A,italia_seriea,3060.0,619.286,5258.508,138.3818,18.2143,11.777,0.1316
1120669,Hugo Sotelo,Celta Vigo,La Liga,laliga,1800.0,349.823,5112.993,134.5524,17.4911,6.842,0.13
190883,Branco Van den Boomen,Angers,Ligue 1,ligue1,1350.0,261.878,3236.482,95.1906,17.4585,8.091,0.1834
296434,Laurent Abergel,Lorient,Ligue 1,ligue1,2520.0,475.812,3637.136,106.9746,16.9933,13.082,0.1589
286167,Aleix Febas,Elche,La Liga,laliga,3240.0,608.352,5102.488,134.276,16.8987,11.923,0.1259
866469,Bruno Guimarães,Newcastle United,Premier League,premier_league,2610.0,487.793,4618.842,124.8336,16.8204,10.561,0.1347
911848,Lucas Da Cunha,Como,Serie A,italia_seriea,3240.0,602.234,5507.147,144.9249,16.7287,10.936,0.1154
117777,Granit Xhaka,Sunderland,Premier League,premier_league,3060.0,560.889,3530.122,92.8979,16.4967,15.889,0.1776
51665,Benjamin André,Lille,Ligue 1,ligue1,2430.0,440.032,4658.389,137.0115,16.2975,9.446,0.1189
901850,Nicolò Fagioli,Fiorentina,Serie A,italia_seriea,2970.0,537.768,4252.725,111.9138,16.296,12.645,0.1456
1127057,Valentín Barco,RC Strasbourg,Ligue 1,ligue1,2430.0,435.459,4226.911,124.3209,16.1281,10.302,0.1297
1389846,Lamine Camara,AS Monaco,Ligue 1,ligue1,2070.0,369.346,4515.807,136.8426,16.0585,8.179,0.1174
826171,Senne Lynen,SV Werder Bremen,Bundesliga,bundesliga,2790.0,497.008,4333.541,127.4571,16.0325,11.469,0.1258
359272,Sofyan Amrabat,Real Betis,La Liga,laliga,1530.0,271.406,4679.077,123.1336,15.9651,5.8,0.1297
979118,Tyler Morton,Olympique Lyonnais,Ligue 1,ligue1,2610.0,456.717,3997.821,121.1461,15.7489,11.424,0.13
816763,Pablo Fornals,Real Betis,La Liga,laliga,3330.0,578.144,4679.077,123.1336,15.6255,12.356,0.1269
814882,Nikola Moro,Bologna,Serie A,italia_seriea,2700.0,456.819,4531.095,119.2393,15.2273,10.082,0.1277
48480,Pascal Groß,Brighton & Hove Albion,Premier League,premier_league,2700.0,454.48,4503.937,118.5247,15.1493,10.091,0.1278
44241,Nemanja Matić,Sassuolo,Serie A,italia_seriea,3060.0,501.552,4009.59,105.5155,14.7515,12.509,0.1398
927361,James Garner,Everton,Premier League,premier_league,3420.0,528.036,3853.587,101.4102,13.8957,13.702,0.137
1151803,Kévin Danois,Auxerre,Ligue 1,ligue1,2970.0,455.963,3363.701,98.9324,13.8171,13.555,0.1397
327755,Nadiem Amiri,1. FSV Mainz 05,Bundesliga,bundesliga,2340.0,352.038,3337.561,98.1635,13.5399,10.548,0.1379
1398526,Miguel Román,Celta Vigo,La Liga,laliga,1710.0,245.287,5112.993,134.5524,12.9098,4.797,0.0959
1142562,Mateus Fernandes,West Ham United,Premier League,premier_league,3240.0,452.236,3431.754,90.3093,12.5621,13.178,0.1391
991421,Azzedine Ounahi,Girona FC,La Liga,laliga,2160.0,300.402,4558.232,119.9535,12.5167,6.59,0.1043
147289,Maximilian Arnold,VfL Wolfsburg,Bundesliga,bundesliga,2250.0,310.84,3689.446,102.4846,12.4336,8.425,0.1213
96365,Iñigo Ruiz de Galarreta,Athletic Club,La Liga,laliga,3060.0,418.073,4380.989,115.2892,12.2963,9.543,0.1067
1109771,Adam Wharton,Crystal Palace,Premier League,premier_league,3060.0,410.984,3818.415,100.4846,12.0878,10.763,0.1203
913679,Pathé Ismaël Ciss,Rayo Vallecano,La Liga,laliga,2610.0,348.144,4124.179,108.531,12.005,8.442,0.1106
149370,Moi Gómez,Osasuna,La Liga,laliga,2340.0,303.462,3766.675,99.123,11.6716,8.056,0.1177
1126569,Bilal El Khannouss,VfB Stuttgart,Bundesliga,bundesliga,2250.0,289.004,4925.305,144.8619,11.5601,5.868,0.0798
1138804,Hakon Arnar Haraldsson,Lille,Ligue 1,ligue1,2880.0,360.908,4658.389,137.0115,11.2784,7.747,0.0823
1012657,Lucas Gourna-Douath,Le Havre,Ligue 1,ligue1,1350.0,166.593,3204.495,94.2499,11.1062,5.199,0.1178
368120,Nabil Bentaleb,Lille,Ligue 1,ligue1,2340.0,283.178,4658.389,137.0115,10.8915,6.079,0.0795
1035996,André,Wolverhampton,Premier League,premier_league,3150.0,379.634,3331.131,87.6613,10.8467,11.397,0.1237
